itemID,forbidRule
792,기내휴대 O
801,기내휴대 X
935,위탁수하물 X
1008,위탁수하물 O
800,위탁수하물 O
818,위탁수하물 O
830,기내휴대 X
815,기내휴대 X
816,위탁수하물 X
817,특별조항
1020,위탁수하물 O
824,위탁수하물 O
818,기내휴대 X
886,특별조항
803,위탁수하물 O
807,기내휴대 X
937,특별조항
938,위탁수하물 O
1015,기내휴대 X
6900,기내휴대 O
6830,기내휴대 O
6844,특별조항
6843,기내휴대 O
6718,위탁수하물 O
6721,특별조항
6783,기내휴대 O
845,기내휴대 X
840,기내휴대 O
882,위탁수하물 O
958,위탁수하물 O
958,기내휴대 O
968,특별조항
978,위탁수하물 O
985,특별조항
993,기내휴대 O
996,위탁수하물 O
1003,위탁수하물 O
666,위탁수하물 O
675,기내휴대 O
684,기내휴대 O
763,기내휴대 O
752,위탁수하물 O
675,위탁수하물 O
681,기내휴대 O
744,기내휴대 X
745,기내휴대 O
725,특별조항
766,위탁수하물 X
918,기내휴대 X
1017,위탁수하물 O
793,기내휴대 X
826,기내휴대 X
820,위탁수하물 O
890,특별조항
891,특별조항
827,위탁수하물 O
898,특별조항
822,위탁수하물 O
799,기내휴대 X
823,위탁수하물 O
906,기내휴대 O
915,위탁수하물 O
6799,위탁수하물 X
6818,위탁수하물 O
6820,위탁수하물 O
6843,위탁수하물 O
6707,위탁수하물 O
6855,기내휴대 O
6888,기내휴대 O
844,기내휴대 X
843,위탁수하물 O
859,위탁수하물 O
878,위탁수하물 O
957,특별조항
961,기내휴대 O
964,위탁수하물 X
977,기내휴대 O
982,위탁수하물 O
991,기내휴대 X
994,위탁수하물 O
687,기내휴대 X
674,기내휴대 O
678,위탁수하물 O
682,위탁수하물 O
677,위탁수하물 O
720,특별조항
751,항공사 승인
717,특별조항
749,기내휴대 X
760,위탁수하물 O
755,특별조항
739,기내휴대 O
900,기내휴대 X
904,위탁수하물 O
757,특별조항
767,특별조항
782,위탁수하물 X
914,위탁수하물 O
784,기내휴대 X
790,위탁수하물 O
949,기내휴대 O
828,기내휴대 O
860,특별조항
819,기내휴대 X
954,기내휴대 O
827,기내휴대 O
814,위탁수하물 X
952,기내휴대 X
859,기내휴대 X
877,위탁수하물 O
857,기내휴대 X
962,기내휴대 X
967,위탁수하물 X
978,기내휴대 O
999,기내휴대 X
676,위탁수하물 O
685,위탁수하물 O
673,기내휴대 X
668,기내휴대 X
678,기내휴대 O
680,기내휴대 X
726,위탁수하물 O
733,기내휴대 O
716,기내휴대 X
733,위탁수하물 O
739,위탁수하물 O
742,위탁수하물 O
748,기내휴대 X
738,기내휴대 O
742,기내휴대 X
782,기내휴대 X
747,기내휴대 X
754,위탁수하물 O
775,위탁수하물 O
905,위탁수하물 X
768,기내휴대 X
892,위탁수하물 X
916,위탁수하물 O
914,기내휴대 O
793,위탁수하물 O
779,특별조항
781,위탁수하물 X
789,위탁수하물 O
929,위탁수하물 X
929,기내휴대 X
1009,특별조항
805,기내휴대 X
902,기내휴대 X
802,위탁수하물 O
881,위탁수하물 O
1018,기내휴대 X
917,특별조항
869,위탁수하물 X
844,위탁수하물 O
970,특별조항
975,기내휴대 O
991,위탁수하물 X
998,위탁수하물 X
669,위탁수하물 O
671,위탁수하물 O
725,항공사 승인
683,기내휴대 X
723,항공사 승인
706,기내휴대 O
746,위탁수하물 O
764,위탁수하물 X
